step,peak_psi_q16,peak_psi_float,kinetic_like,field_like,elapsed_seconds
1,8,0.0001220703125,6.752088665962219e-08,3.77558171749115e-06,0.0003144999991491204
25,326,0.004974365234375,3.47234308719635e-05,0.004485207609832287,0.004672499999287538
50,2649,0.0404205322265625,0.0013130675069987774,0.24804139812476933,0.010051399998701527
75,17118,0.261199951171875,0.052899133414030075,10.321973420213908,0.014736199998878874
100,109374,1.668914794921875,2.1631874253507704,422.6358187964652,0.020218099998601247
125,699617,10.675308227539062,88.48782072775066,17290.16740470566,0.025773999999728403
150,4474637,68.27754211425781,3619.930592703866,707316.7439607966,0.030861600000207545
175,28619709,436.7021026611328,148087.146371522,28935524.313807905,0.03576929999871936
200,183051922,2793.150665283203,6058080.126586724,1183719599.2183957,0.04107379999913974
225,1170800915,17865.004196166992,247829220.181526,48424635070.479774,0.045078699999066885
250,2136346726,32598.064056396484,32774740919.03882,284911922205.90717,0.0491210999989562
275,2118012348,32318.303649902344,1373404793928.2627,496177581486.4904,0.05888369999956922
300,1612870033,24610.443618774414,2936165469.6202545,117115070735.06064,0.06350139999995008
325,1620553414,24727.682708740234,5105917996.429455,138873251372.478,0.07309460000033141
350,2140386959,32659.713119506836,103918251980.0097,137287557590.94537,0.07952060000025085
375,1955486337,29838.35353088379,187298698754.70544,193542932146.54962,0.08876760000021022
400,2134414859,32568.58610534668,185044115729.67847,195220869690.03186,0.10084180000012566
425,2030740906,30986.64712524414,65344351258.73721,163080739403.84772,0.1096637999999075
438,2119209684,32336.57354736328,81798322666.45511,169720133096.95367,0.1119431999995868
